City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Weather
0,Coihaique,-45.5752,-72.0662,59.61,47,40,9.22,CL,scattered clouds
1,Lagoa,39.05,-27.9833,58.14,70,38,25.77,PT,scattered clouds
2,Port Elizabeth,-33.918,25.5701,74.1,89,93,13.67,ZA,overcast clouds
3,Ribeira Grande,38.5167,-28.7,59.4,63,40,20.71,PT,scattered clouds
4,Vieste,41.8825,16.175,51.04,51,1,6.71,IT,clear sky
5,Clyde River,70.4692,-68.5914,-19.97,76,40,5.75,CA,scattered clouds
6,Kapaa,22.0752,-159.319,80.58,65,0,1.99,US,clear sky
7,Busselton,-33.65,115.3333,63.09,65,87,17.78,AU,overcast clouds
8,Mount Gambier,-37.8333,140.7667,62.51,94,100,8.05,AU,overcast clouds
9,Russkaya Polyana,49.417,31.9201,32.31,85,26,15.3,UA,scattered clouds
10,Kahului,20.8947,-156.47,79.86,66,4,18.01,US,clear sky
11,Guatire,10.4762,-66.5427,84.7,62,75,5.03,VE,broken clouds
12,San Patricio,28.017,-97.5169,72.32,50,28,11.65,US,scattered clouds
13,Tongzi,28.7829,105.0877,42.87,85,91,2.01,CN,overcast clouds
14,Leningradskiy,69.3833,178.4167,-12.53,94,98,2.95,RU,overcast clouds
15,Butaritari,3.0707,172.7902,81.81,76,18,21.03,KI,light rain
16,Kudahuvadhoo,2.6708,72.8944,81.54,77,28,11.92,MV,scattered clouds
17,Bluff,-46.6,168.3333,65.8,87,96,4.9,NZ,overcast clouds
18,Losevo,50.6767,40.045,32.41,97,100,16.96,RU,snow
19,Thinadhoo,0.5333,72.9333,81.64,73,75,10.94,MV,broken clouds
20,Bengkulu,-3.8004,102.2655,75.97,89,100,3.27,ID,moderate rain
21,Alofi,-19.0595,-169.9187,74.79,84,100,7.72,NU,moderate rain
22,Avarua,-21.2078,-159.775,73.45,88,75,5.75,CK,heavy intensity rain
23,Tezu,27.9167,96.1667,51.93,53,22,3.76,IN,few clouds
24,San Lazaro,18.0387,-88.6622,76.71,50,18,4.85,BZ,few clouds
25,Arraial Do Cabo,-22.9661,-42.0278,78.66,89,75,8.05,BR,broken clouds
26,Hobart,-42.8794,147.3294,59.22,90,75,5.75,AU,broken clouds
27,Cape Town,-33.9258,18.4232,68.11,77,0,4.0,ZA,clear sky
28,Ushuaia,-54.8,-68.3,47.86,61,75,33.38,AR,broken clouds
29,Hithadhoo,-0.6,73.0833,81.61,70,81,9.04,MV,broken clouds
30,Inuvik,68.3499,-133.7218,5.04,84,75,4.61,CA,light snow
31,Vicuna,-30.0319,-70.7081,80.76,43,0,9.04,CL,clear sky
32,Surt,31.2089,16.5887,56.23,60,7,13.87,LY,clear sky
33,Katsuura,35.1333,140.3,39.31,53,100,11.01,JP,overcast clouds
