City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
6,Kapaa,US,80.58,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
10,Kahului,US,79.86,clear sky,20.8947,-156.47,Maui Seaside Hotel
11,Guatire,VE,84.7,broken clouds,10.4762,-66.5427,Parque Residencial Canaima I
15,Butaritari,KI,81.81,light rain,3.0707,172.7902,Isles Sunset Lodge
16,Kudahuvadhoo,MV,81.54,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
20,Bengkulu,ID,75.97,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
25,Arraial Do Cabo,BR,78.66,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
29,Hithadhoo,MV,81.61,broken clouds,-0.6,73.0833,Scoop Guest House
31,Vicuna,CL,80.76,clear sky,-30.0319,-70.7081,Los Mosaicos
36,Rikitea,PF,76.33,overcast clouds,-23.1203,-134.9692,People ThankYou
39,Cayenne,GF,78.84,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
41,Ambilobe,MG,75.15,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
56,Saint-Joseph,RE,77.38,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
59,Hilo,US,78.53,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
61,Atuona,PF,78.01,clear sky,-9.8,-139.0333,Villa Enata
62,Bambous Virieux,MU,78.22,light rain,-20.3428,57.7575,Casa Tia Villa
66,Cap Malheureux,MU,78.48,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
70,Puerto Ayora,EC,85.96,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
78,Pimentel,PE,77.29,clear sky,-6.8367,-79.9342,Casona Del Muelle
83,Kavieng,PG,80.98,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
94,Pisco,PE,75.25,scattered clouds,-13.7,-76.2167,Hotel San Isidro Oficial
99,Marovoay,MG,77.07,clear sky,-16.1,46.6333,Hôtel les Oliviers Marovoay
114,Georgetown,MY,81.9,few clouds,5.4112,100.3354,Cititel Penang
119,Vanimo,PG,76.5,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
120,Hambantota,LK,76.23,scattered clouds,6.1241,81.1185,Bungalow 63
122,Chuy,UY,76.44,scattered clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
123,Panalingaan,PH,77.83,clear sky,8.7842,117.4231,I Love Panalingaan View Deck
124,Karratha,AU,82.47,broken clouds,-20.7377,116.8463,ibis Styles Karratha
125,Carnarvon,AU,77.65,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
126,Raglan,NZ,75.33,overcast clouds,-37.8,174.8833,Raglan Sunset Motel
127,Touros,BR,83.3,few clouds,-5.1989,-35.4608,INN NEW HORIZON
128,Buchanan,LR,80.56,broken clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
132,Puerto Escondido,MX,83.23,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
133,Chilca,PE,76.6,broken clouds,-12.5211,-76.7372,Playa Punta Yaya - Las Salinas
143,Bayaguana,DO,87.35,overcast clouds,18.7564,-69.6362,Rancho La Mecha
146,Aden,YE,76.82,few clouds,12.7794,45.0367,Sama Emirate Hotel
147,Vaini,TO,79.81,light rain,-21.2,-175.2,Keleti Beach Resort
148,Luis Correia,BR,86.0,light rain,-2.8792,-41.6669,Hotel Amarração
155,Coahuayana,MX,89.2,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
156,General Roca,AR,83.62,clear sky,-39.0333,-67.5833,Hotel y Casino del Río General Roca
158,Samarai,PG,81.03,overcast clouds,-10.6167,150.6667,Nuli Sapi
161,Pangai,TO,81.09,light rain,-19.8,-174.35,Ha'apai Beach Resort
